Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,CLV,Purchase_Frequency_Score,Age_Group,Discount_Sensitivity,Dominant_Category,Winter_Spring_Buyer,Review_Rating_Category,Cluster
25,Male,Gloves,Accessories,99,Rhode Island,M,Blue,Spring,4.9,Yes,Credit Card,Next Day Air,Yes,Yes,48,Debit Card,Every 3 Months,4752,3,Young,1,Accessories,1,High,2
47,Male,Shorts,Clothing,91,Arkansas,L,Black,Winter,4.0,Yes,Debit Card,2-Day Shipping,Yes,Yes,48,PayPal,Monthly,4368,4,Middle,1,Clothing,1,Medium,2
63,Male,Hat,Accessories,30,Maryland,L,Black,Winter,3.8,Yes,Debit Card,Standard,Yes,Yes,27,PayPal,Fortnightly,810,6,Senior,1,Accessories,1,Medium,1
64,Male,Shoes,Footwear,65,South Carolina,L,Teal,Summer,3.7,Yes,Venmo,Store Pickup,Yes,Yes,27,Bank Transfer,Weekly,1755,7,Senior,1,Footwear,0,Medium,1
18,Male,Boots,Footwear,93,Ohio,M,Yellow,Winter,3.9,Yes,Cash,Express,Yes,Yes,20,Venmo,Weekly,1860,7,Young,1,Footwear,1,Medium,1
59,Male,Jacket,Outerwear,81,Illinois,M,White,Fall,3.3,Yes,Debit Card,Express,Yes,Yes,48,Venmo,Every 3 Months,3888,3,Senior,1,Outerwear,0,Medium,2
37,Male,Jewelry,Accessories,81,Georgia,S,Orange,Summer,2.7,Yes,Venmo,Standard,Yes,Yes,29,Venmo,Weekly,2349,7,Middle,1,Accessories,0,Low,1
23,Male,Sunglasses,Accessories,52,Alabama,M,Silver,Winter,4.7,Yes,PayPal,Next Day Air,Yes,Yes,45,PayPal,Monthly,2340,4,Young,1,Accessories,1,High,1
54,Male,Skirt,Clothing,88,Oklahoma,M,Pink,Summer,2.8,Yes,Cash,Next Day Air,Yes,Yes,25,Cash,Quarterly,2200,2,Senior,1,Clothing,0,Low,1
38,Male,Jeans,Clothing,24,Vermont,L,Turquoise,Winter,4.6,Yes,Credit Card,Free Shipping,Yes,Yes,25,PayPal,Weekly,600,7,Middle,1,Clothing,1,High,1
19,Male,Backpack,Accessories,51,Nebraska,S,Orange,Spring,4.5,Yes,Credit Card,2-Day Shipping,Yes,Yes,37,Debit Card,Every 3 Months,1887,3,Young,1,Accessories,1,High,1
34,Male,Backpack,Accessories,38,Georgia,S,Peach,Fall,5.0,Yes,Bank Transfer,Free Shipping,Yes,Yes,16,Cash,Quarterly,608,2,Middle,1,Accessories,0,High,1
21,Male,Shorts,Clothing,46,Alabama,L,Pink,Fall,4.1,Yes,Debit Card,2-Day Shipping,Yes,Yes,30,Debit Card,Bi-Weekly,1380,5,Young,1,Clothing,0,High,1
50,Male,Dress,Clothing,63,Minnesota,L,Teal,Summer,4.6,Yes,Cash,Express,Yes,Yes,6,Cash,Every 3 Months,378,3,Middle,1,Clothing,0,High,1
55,Male,Scarf,Accessories,72,Missouri,XL,White,Winter,4.9,Yes,Credit Card,2-Day Shipping,Yes,Yes,36,Bank Transfer,Quarterly,2592,2,Senior,1,Accessories,1,High,2
20,Male,Jeans,Clothing,39,Georgia,L,Gray,Winter,3.9,Yes,Cash,Free Shipping,Yes,Yes,3,Bank Transfer,Quarterly,117,2,Young,1,Clothing,1,Medium,1
34,Male,Coat,Outerwear,42,West Virginia,L,Olive,Spring,3.9,Yes,Venmo,Store Pickup,Yes,Yes,29,PayPal,Every 3 Months,1218,3,Middle,1,Outerwear,1,Medium,1
62,Male,Sweater,Clothing,76,Arkansas,XL,Maroon,Summer,2.6,Yes,Debit Card,2-Day Shipping,Yes,Yes,15,Cash,Quarterly,1140,2,Senior,1,Clothing,0,Low,1
21,Male,Sneakers,Footwear,66,Ohio,L,Magenta,Summer,2.7,Yes,Cash,Free Shipping,Yes,Yes,18,Debit Card,Annually,1188,1,Young,1,Footwear,0,Low,1
21,Male,Scarf,Accessories,90,Connecticut,M,Magenta,Spring,3.5,Yes,Venmo,Free Shipping,Yes,Yes,2,Debit Card,Fortnightly,180,6,Young,1,Accessories,1,Medium,1
42,Male,Sweater,Clothing,56,North Dakota,M,Green,Summer,3.7,Yes,Credit Card,Free Shipping,Yes,Yes,49,Debit Card,Weekly,2744,7,Middle,1,Clothing,0,Medium,2
35,Male,Jewelry,Accessories,43,Kansas,XL,Turquoise,Winter,3.2,Yes,Debit Card,Free Shipping,Yes,Yes,48,Venmo,Annually,2064,1,Middle,1,Accessories,1,Medium,1
39,Male,Handbag,Accessories,84,Iowa,L,Yellow,Winter,3.3,Yes,Bank Transfer,Store Pickup,Yes,Yes,43,Venmo,Monthly,3612,4,Middle,1,Accessories,1,Medium,2
68,Male,Hoodie,Clothing,88,Vermont,M,Gray,Summer,4.8,Yes,Credit Card,Standard,Yes,Yes,30,Debit Card,Bi-Weekly,2640,5,Senior,1,Clothing,0,High,2
46,Male,Hat,Accessories,88,Wisconsin,L,Peach,Fall,3.2,Yes,PayPal,2-Day Shipping,Yes,Yes,10,PayPal,Fortnightly,880,6,Middle,1,Accessories,0,Medium,1
41,Male,Belt,Accessories,42,Connecticut,M,Yellow,Winter,2.5,Yes,PayPal,2-Day Shipping,Yes,Yes,11,Venmo,Annually,462,1,Middle,1,Accessories,1,Low,1
23,Male,Hoodie,Clothing,73,Oklahoma,M,White,Fall,3.9,Yes,Venmo,Store Pickup,Yes,Yes,12,Debit Card,Weekly,876,7,Young,1,Clothing,0,Medium,1
68,Male,Hat,Accessories,73,Missouri,L,Lavender,Summer,4.7,Yes,Credit Card,Free Shipping,Yes,Yes,28,Bank Transfer,Quarterly,2044,2,Senior,1,Accessories,0,High,1
48,Male,Shoes,Footwear,44,Tennessee,S,Blue,Spring,2.6,Yes,Debit Card,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,1584,6,Middle,1,Footwear,1,Low,1
38,Male,Sandals,Footwear,63,New Mexico,M,Charcoal,Fall,2.8,Yes,Debit Card,Store Pickup,Yes,Yes,37,Venmo,Every 3 Months,2331,3,Middle,1,Footwear,0,Low,1
41,Male,Jacket,Outerwear,68,Iowa,L,Red,Winter,4.4,Yes,Credit Card,Store Pickup,Yes,Yes,22,Credit Card,Quarterly,1496,2,Middle,1,Outerwear,1,High,1
58,Male,Sweater,Clothing,29,Maine,L,Olive,Spring,4.6,Yes,Venmo,Standard,Yes,Yes,32,Venmo,Weekly,928,7,Senior,1,Clothing,1,High,1
49,Male,Socks,Clothing,85,South Dakota,M,Green,Summer,3.2,Yes,Venmo,Standard,Yes,Yes,40,PayPal,Annually,3400,1,Middle,1,Clothing,0,Medium,2
57,Male,Sneakers,Footwear,42,Colorado,M,Silver,Winter,4.2,Yes,PayPal,2-Day Shipping,Yes,Yes,47,Cash,Monthly,1974,4,Senior,1,Footwear,1,High,1
49,Male,Coat,Outerwear,69,Vermont,M,Silver,Summer,3.7,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,24,Credit Card,Bi-Weekly,1656,5,Middle,1,Outerwear,0,Medium,1
50,Male,Shirt,Clothing,62,Michigan,M,Black,Fall,3.9,Yes,PayPal,Standard,Yes,Yes,11,Debit Card,Weekly,682,7,Middle,1,Clothing,0,Medium,1
28,Male,Backpack,Accessories,48,Nevada,XL,Red,Summer,4.7,Yes,Debit Card,Store Pickup,Yes,Yes,19,Cash,Bi-Weekly,912,5,Young,1,Accessories,0,High,1
38,Male,Boots,Footwear,68,Indiana,M,Indigo,Winter,4.5,Yes,PayPal,Express,Yes,Yes,42,Debit Card,Weekly,2856,7,Middle,1,Footwear,1,High,2
33,Male,Handbag,Accessories,36,Michigan,XL,Cyan,Fall,3.3,Yes,Credit Card,Free Shipping,Yes,Yes,6,Debit Card,Fortnightly,216,6,Middle,1,Accessories,0,Medium,1
30,Male,Dress,Clothing,63,California,S,Maroon,Fall,3.3,Yes,Venmo,Express,Yes,Yes,31,Venmo,Fortnightly,1953,6,Young,1,Clothing,0,Medium,1
43,Male,Sneakers,Footwear,39,Oklahoma,S,Silver,Winter,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,31,Cash,Weekly,1209,7,Middle,1,Footwear,1,High,1
43,Male,Boots,Footwear,78,Iowa,M,Lavender,Spring,3.6,Yes,PayPal,Free Shipping,Yes,Yes,27,Bank Transfer,Monthly,2106,4,Middle,1,Footwear,1,Medium,1
36,Male,Shoes,Footwear,99,Rhode Island,L,Silver,Winter,4.8,Yes,Credit Card,Express,Yes,Yes,24,PayPal,Monthly,2376,4,Middle,1,Footwear,1,High,2
36,Male,T-shirt,Clothing,31,Washington,L,Purple,Fall,4.8,Yes,Bank Transfer,Next Day Air,Yes,Yes,35,Venmo,Every 3 Months,1085,3,Middle,1,Clothing,0,High,1
64,Male,Boots,Footwear,45,Florida,M,Cyan,Spring,2.9,Yes,Debit Card,Next Day Air,Yes,Yes,21,Venmo,Annually,945,1,Senior,1,Footwear,1,Low,1
59,Male,Pants,Clothing,30,South Carolina,S,Cyan,Fall,2.8,Yes,Cash,Express,Yes,Yes,8,PayPal,Fortnightly,240,6,Senior,1,Clothing,0,Low,1
55,Male,Shoes,Footwear,24,West Virginia,M,Lavender,Summer,3.2,Yes,Credit Card,Next Day Air,Yes,Yes,26,Bank Transfer,Quarterly,624,2,Senior,1,Footwear,0,Medium,1
42,Male,Shoes,Footwear,22,Missouri,M,Maroon,Winter,3.9,Yes,Bank Transfer,Free Shipping,Yes,Yes,26,PayPal,Annually,572,1,Middle,1,Footwear,1,Medium,1
61,Male,T-shirt,Clothing,63,Maine,L,Gray,Spring,4.3,Yes,Credit Card,Express,Yes,Yes,9,Cash,Bi-Weekly,567,5,Senior,1,Clothing,1,High,1
28,Male,Scarf,Accessories,40,Georgia,M,Olive,Fall,2.7,Yes,Cash,2-Day Shipping,Yes,Yes,48,Debit Card,Annually,1920,1,Young,1,Accessories,0,Low,1
65,Male,Shorts,Clothing,20,Maine,M,Magenta,Spring,5.0,Yes,Bank Transfer,Store Pickup,Yes,Yes,33,Debit Card,Fortnightly,660,6,Senior,1,Clothing,1,High,1
27,Male,Jewelry,Accessories,20,Illinois,S,Yellow,Winter,3.7,Yes,Cash,Store Pickup,Yes,Yes,31,PayPal,Quarterly,620,2,Young,1,Accessories,1,Medium,1
41,Male,T-shirt,Clothing,80,Delaware,L,Cyan,Summer,3.9,Yes,Bank Transfer,Free Shipping,Yes,Yes,17,Debit Card,Weekly,1360,7,Middle,1,Clothing,0,Medium,1
21,Male,Shirt,Clothing,87,West Virginia,M,Teal,Fall,3.9,Yes,Credit Card,2-Day Shipping,Yes,Yes,22,Venmo,Annually,1914,1,Young,1,Clothing,0,Medium,1
61,Male,Shirt,Clothing,46,Hawaii,L,Yellow,Fall,3.1,Yes,Debit Card,Free Shipping,Yes,Yes,8,PayPal,Annually,368,1,Senior,1,Clothing,0,Medium,1
19,Male,Gloves,Accessories,49,New York,L,Peach,Winter,3.3,Yes,Credit Card,Next Day Air,Yes,Yes,2,Bank Transfer,Monthly,98,4,Young,1,Accessories,1,Medium,1
22,Male,Scarf,Accessories,65,New Mexico,M,Peach,Fall,3.6,Yes,PayPal,Store Pickup,Yes,Yes,45,Venmo,Annually,2925,1,Young,1,Accessories,0,Medium,2
64,Male,Skirt,Clothing,62,Indiana,S,Olive,Winter,4.3,Yes,Debit Card,Standard,Yes,Yes,47,PayPal,Quarterly,2914,2,Senior,1,Clothing,1,High,2
28,Male,Hat,Accessories,67,Kentucky,L,Charcoal,Spring,4.5,Yes,Credit Card,Next Day Air,Yes,Yes,7,Cash,Monthly,469,4,Young,1,Accessories,1,High,1
34,Male,Hoodie,Clothing,41,West Virginia,L,Indigo,Fall,2.8,Yes,Cash,2-Day Shipping,Yes,Yes,19,Debit Card,Bi-Weekly,779,5,Middle,1,Clothing,0,Low,1
61,Male,Boots,Footwear,49,North Dakota,L,Silver,Fall,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,44,Cash,Every 3 Months,2156,3,Senior,1,Footwear,0,Low,1
24,Male,Blouse,Clothing,100,Oregon,M,Beige,Fall,2.9,Yes,PayPal,Next Day Air,Yes,Yes,16,Venmo,Every 3 Months,1600,3,Young,1,Clothing,0,Low,1
19,Male,Belt,Accessories,54,Minnesota,L,Blue,Summer,4.4,Yes,Cash,2-Day Shipping,Yes,Yes,17,Bank Transfer,Quarterly,918,2,Young,1,Accessories,0,High,1
51,Male,Sunglasses,Accessories,84,South Carolina,M,White,Spring,3.9,Yes,Bank Transfer,Free Shipping,Yes,Yes,20,Debit Card,Quarterly,1680,2,Senior,1,Accessories,1,Medium,1
36,Male,Shorts,Clothing,41,Vermont,L,Gold,Winter,3.5,Yes,Credit Card,Standard,Yes,Yes,50,Bank Transfer,Annually,2050,1,Middle,1,Clothing,1,Medium,1
65,Male,Gloves,Accessories,88,Minnesota,M,Blue,Spring,2.5,Yes,PayPal,Store Pickup,Yes,Yes,37,Cash,Quarterly,3256,2,Senior,1,Accessories,1,Low,2
46,Male,Sandals,Footwear,40,Delaware,M,Orange,Spring,4.9,Yes,Cash,Express,Yes,Yes,5,PayPal,Quarterly,200,2,Middle,1,Footwear,1,High,1
59,Male,Shirt,Clothing,39,Pennsylvania,M,Gold,Summer,4.8,Yes,Venmo,Free Shipping,Yes,Yes,44,PayPal,Annually,1716,1,Senior,1,Clothing,0,High,1
51,Male,Coat,Outerwear,37,Iowa,M,Cyan,Spring,3.2,Yes,Credit Card,Next Day Air,Yes,Yes,41,Debit Card,Monthly,1517,4,Senior,1,Outerwear,1,Medium,1
51,Male,Pants,Clothing,52,New Jersey,S,Red,Winter,4.9,Yes,Cash,Standard,Yes,Yes,19,Cash,Monthly,988,4,Senior,1,Clothing,1,High,1
21,Male,T-shirt,Clothing,23,South Carolina,L,Yellow,Winter,4.3,Yes,Bank Transfer,Next Day Air,Yes,Yes,47,Bank Transfer,Every 3 Months,1081,3,Young,1,Clothing,1,High,1
34,Male,Sneakers,Footwear,88,Maryland,S,Beige,Winter,3.2,Yes,Venmo,Express,Yes,Yes,40,Cash,Annually,3520,1,Middle,1,Footwear,1,Medium,2
32,Male,Shorts,Clothing,84,California,M,Orange,Fall,3.7,Yes,Cash,Standard,Yes,Yes,6,Credit Card,Monthly,504,4,Middle,1,Clothing,0,Medium,1
48,Male,Coat,Outerwear,37,Montana,XL,Magenta,Winter,3.2,Yes,Venmo,Store Pickup,Yes,Yes,25,Credit Card,Bi-Weekly,925,5,Middle,1,Outerwear,1,Medium,1
50,Male,Sandals,Footwear,51,Vermont,L,Purple,Fall,3.4,Yes,Bank Transfer,Next Day Air,Yes,Yes,42,Cash,Weekly,2142,7,Middle,1,Footwear,0,Medium,1
26,Male,Pants,Clothing,76,Texas,L,Black,Winter,4.1,Yes,Bank Transfer,Express,Yes,Yes,35,Bank Transfer,Every 3 Months,2660,3,Young,1,Clothing,1,High,2
57,Male,Sandals,Footwear,60,North Carolina,L,Pink,Spring,4.5,Yes,PayPal,Next Day Air,Yes,Yes,17,Debit Card,Weekly,1020,7,Senior,1,Footwear,1,High,1
65,Male,Gloves,Accessories,72,Florida,L,Pink,Fall,4.5,Yes,Bank Transfer,Next Day Air,Yes,Yes,4,PayPal,Quarterly,288,2,Senior,1,Accessories,0,High,1
56,Male,T-shirt,Clothing,45,West Virginia,L,Maroon,Spring,3.2,Yes,Credit Card,Free Shipping,Yes,Yes,24,Bank Transfer,Weekly,1080,7,Senior,1,Clothing,1,Medium,1
44,Male,Jacket,Outerwear,84,Illinois,S,Maroon,Fall,4.4,Yes,Debit Card,Store Pickup,Yes,Yes,16,Debit Card,Every 3 Months,1344,3,Middle,1,Outerwear,0,High,1
50,Male,Blouse,Clothing,49,Virginia,S,Turquoise,Summer,3.0,Yes,Credit Card,Store Pickup,Yes,Yes,14,Debit Card,Annually,686,1,Middle,1,Clothing,0,Low,1
27,Male,Socks,Clothing,22,Virginia,XL,Green,Spring,3.2,Yes,PayPal,Free Shipping,Yes,Yes,43,Cash,Weekly,946,7,Young,1,Clothing,1,Medium,1
49,Male,Coat,Outerwear,48,Wyoming,M,Violet,Winter,4.0,Yes,Cash,Store Pickup,Yes,Yes,49,Debit Card,Weekly,2352,7,Middle,1,Outerwear,1,Medium,1
49,Male,Dress,Clothing,37,South Carolina,M,Lavender,Spring,3.1,Yes,Venmo,Next Day Air,Yes,Yes,33,Cash,Every 3 Months,1221,3,Middle,1,Clothing,1,Medium,1
52,Male,Jacket,Outerwear,27,Connecticut,L,Gray,Fall,2.8,Yes,Bank Transfer,Next Day Air,Yes,Yes,45,Cash,Bi-Weekly,1215,5,Senior,1,Outerwear,0,Low,1
27,Male,Boots,Footwear,79,Illinois,XL,Teal,Spring,4.6,Yes,Venmo,Next Day Air,Yes,Yes,35,Cash,Bi-Weekly,2765,5,Young,1,Footwear,1,High,2
53,Male,Skirt,Clothing,98,Alabama,S,Red,Spring,4.3,Yes,Debit Card,Express,Yes,Yes,11,Credit Card,Monthly,1078,4,Senior,1,Clothing,1,High,1
34,Male,Sandals,Footwear,64,Washington,S,Yellow,Summer,3.3,Yes,Cash,Standard,Yes,Yes,30,Bank Transfer,Every 3 Months,1920,3,Middle,1,Footwear,0,Medium,1
33,Male,Coat,Outerwear,32,Alabama,L,Magenta,Summer,3.5,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,48,Debit Card,Annually,1536,1,Middle,1,Outerwear,0,Medium,1
62,Male,Hoodie,Clothing,74,New Mexico,M,Brown,Winter,3.4,Yes,Cash,Free Shipping,Yes,Yes,45,Venmo,Bi-Weekly,3330,5,Senior,1,Clothing,1,Medium,2
38,Male,Jacket,Outerwear,50,Nevada,M,Blue,Winter,2.8,Yes,Debit Card,Free Shipping,Yes,Yes,26,Venmo,Weekly,1300,7,Middle,1,Outerwear,1,Low,1
36,Male,Backpack,Accessories,64,Nebraska,M,Black,Winter,4.6,Yes,PayPal,Store Pickup,Yes,Yes,41,Debit Card,Every 3 Months,2624,3,Middle,1,Accessories,1,High,2
31,Male,Backpack,Accessories,29,Arizona,S,Olive,Fall,3.6,Yes,Cash,Express,Yes,Yes,37,Venmo,Bi-Weekly,1073,5,Middle,1,Accessories,0,Medium,1
62,Male,Belt,Accessories,62,Georgia,M,Olive,Summer,3.3,Yes,Cash,Store Pickup,Yes,Yes,12,PayPal,Weekly,744,7,Senior,1,Accessories,0,Medium,1
29,Male,Coat,Outerwear,78,Idaho,XL,Green,Fall,3.1,Yes,Venmo,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly,2106,5,Young,1,Outerwear,0,Medium,1
24,Male,T-shirt,Clothing,94,Missouri,M,Peach,Fall,3.5,Yes,Bank Transfer,Express,Yes,Yes,18,Bank Transfer,Weekly,1692,7,Young,1,Clothing,0,Medium,1
63,Male,Sunglasses,Accessories,59,Florida,M,White,Winter,3.2,Yes,Venmo,Express,Yes,Yes,15,Credit Card,Quarterly,885,2,Senior,1,Accessories,1,Medium,1
56,Male,Sneakers,Footwear,47,Minnesota,M,Red,Summer,3.0,Yes,PayPal,Express,Yes,Yes,34,Bank Transfer,Weekly,1598,7,Senior,1,Footwear,0,Low,1
63,Male,Gloves,Accessories,57,Maine,M,White,Fall,4.8,Yes,Bank Transfer,Express,Yes,Yes,37,Venmo,Annually,2109,1,Senior,1,Accessories,0,High,1
40,Male,Coat,Outerwear,90,Montana,L,Indigo,Winter,5.0,Yes,Credit Card,Store Pickup,Yes,Yes,21,Cash,Fortnightly,1890,6,Middle,1,Outerwear,1,High,1
18,Male,Shirt,Clothing,60,Alaska,M,White,Spring,2.9,Yes,PayPal,Free Shipping,Yes,Yes,31,Debit Card,Weekly,1860,7,Young,1,Clothing,1,Low,1
50,Male,Sneakers,Footwear,77,Iowa,L,Teal,Fall,3.2,Yes,Venmo,Express,Yes,Yes,43,Debit Card,Every 3 Months,3311,3,Middle,1,Footwear,0,Medium,2
66,Male,Scarf,Accessories,41,Arizona,M,Indigo,Fall,2.9,Yes,Bank Transfer,Store Pickup,Yes,Yes,22,Bank Transfer,Monthly,902,4,Senior,1,Accessories,0,Low,1
25,Male,Jewelry,Accessories,48,Louisiana,L,Red,Fall,3.3,Yes,PayPal,Free Shipping,Yes,Yes,12,Debit Card,Annually,576,1,Young,1,Accessories,0,Medium,1
65,Male,Jacket,Outerwear,65,Alabama,M,Blue,Fall,2.6,Yes,Credit Card,Next Day Air,Yes,Yes,25,PayPal,Fortnightly,1625,6,Senior,1,Outerwear,0,Low,1
53,Male,Jeans,Clothing,62,Missouri,M,Blue,Summer,3.5,Yes,PayPal,Standard,Yes,Yes,40,Debit Card,Annually,2480,1,Senior,1,Clothing,0,Medium,1
61,Male,Shoes,Footwear,99,Idaho,M,Black,Fall,4.4,Yes,PayPal,Standard,Yes,Yes,16,Debit Card,Quarterly,1584,2,Senior,1,Footwear,0,High,1
67,Male,Hoodie,Clothing,58,Florida,M,Olive,Winter,3.4,Yes,Cash,Next Day Air,Yes,Yes,30,Bank Transfer,Weekly,1740,7,Senior,1,Clothing,1,Medium,1
59,Male,Backpack,Accessories,43,Idaho,L,Lavender,Fall,4.2,Yes,Bank Transfer,Store Pickup,Yes,Yes,10,Venmo,Weekly,430,7,Senior,1,Accessories,0,High,1
55,Male,Sneakers,Footwear,93,Alabama,M,Indigo,Spring,3.6,Yes,PayPal,Store Pickup,Yes,Yes,1,Debit Card,Fortnightly,93,6,Senior,1,Footwear,1,Medium,1
21,Male,Blouse,Clothing,50,New Hampshire,S,Red,Winter,3.0,Yes,Venmo,Next Day Air,Yes,Yes,24,Venmo,Fortnightly,1200,6,Young,1,Clothing,1,Low,1
44,Male,Pants,Clothing,88,Utah,L,Red,Summer,4.0,Yes,Bank Transfer,Free Shipping,Yes,Yes,36,PayPal,Monthly,3168,4,Middle,1,Clothing,0,Medium,2
65,Male,Skirt,Clothing,33,Alabama,M,Pink,Fall,4.4,Yes,PayPal,Express,Yes,Yes,46,Credit Card,Every 3 Months,1518,3,Senior,1,Clothing,0,High,1
65,Male,T-shirt,Clothing,99,Iowa,XL,Purple,Fall,4.1,Yes,Credit Card,Standard,Yes,Yes,20,Cash,Annually,1980,1,Senior,1,Clothing,0,High,1
54,Male,Jacket,Outerwear,76,Kentucky,XL,Cyan,Spring,3.6,Yes,Venmo,Free Shipping,Yes,Yes,37,Venmo,Weekly,2812,7,Senior,1,Outerwear,1,Medium,2
56,Male,Scarf,Accessories,97,South Carolina,XL,Cyan,Summer,4.6,Yes,Credit Card,Next Day Air,Yes,Yes,26,Bank Transfer,Annually,2522,1,Senior,1,Accessories,0,High,2
58,Male,Pants,Clothing,68,California,M,Charcoal,Summer,3.2,Yes,Cash,2-Day Shipping,Yes,Yes,23,Credit Card,Bi-Weekly,1564,5,Senior,1,Clothing,0,Medium,1
54,Male,Sneakers,Footwear,79,Maine,L,Red,Fall,4.8,Yes,PayPal,Free Shipping,Yes,Yes,20,Bank Transfer,Bi-Weekly,1580,5,Senior,1,Footwear,0,High,1
58,Male,Jeans,Clothing,86,Nebraska,M,Peach,Fall,4.8,Yes,Venmo,Express,Yes,Yes,38,PayPal,Monthly,3268,4,Senior,1,Clothing,0,High,2
48,Male,Hat,Accessories,68,Washington,M,Black,Winter,5.0,Yes,Venmo,2-Day Shipping,Yes,Yes,5,Credit Card,Every 3 Months,340,3,Middle,1,Accessories,1,High,1
19,Male,Skirt,Clothing,52,Alabama,M,Black,Fall,3.7,Yes,PayPal,Store Pickup,Yes,Yes,41,Venmo,Annually,2132,1,Young,1,Clothing,0,Medium,1
69,Male,Sandals,Footwear,90,Maine,M,Purple,Fall,4.6,Yes,Debit Card,Next Day Air,Yes,Yes,22,Credit Card,Fortnightly,1980,6,Senior,1,Footwear,0,High,1
58,Male,Sandals,Footwear,41,California,M,Violet,Winter,3.7,Yes,Debit Card,Free Shipping,Yes,Yes,48,Credit Card,Annually,1968,1,Senior,1,Footwear,1,Medium,1
49,Male,Sweater,Clothing,80,Iowa,M,Orange,Spring,4.1,Yes,PayPal,Free Shipping,Yes,Yes,10,PayPal,Weekly,800,7,Middle,1,Clothing,1,High,1
32,Male,Sweater,Clothing,100,Iowa,XL,Charcoal,Winter,2.7,Yes,Credit Card,Store Pickup,Yes,Yes,12,Bank Transfer,Every 3 Months,1200,3,Middle,1,Clothing,1,Low,1
40,Male,Jacket,Outerwear,77,Colorado,L,Turquoise,Spring,4.9,Yes,Debit Card,Store Pickup,Yes,Yes,2,Bank Transfer,Quarterly,154,2,Middle,1,Outerwear,1,High,1
25,Male,Shorts,Clothing,78,California,L,Yellow,Spring,4.0,Yes,PayPal,Store Pickup,Yes,Yes,38,PayPal,Monthly,2964,4,Young,1,Clothing,1,Medium,2
70,Male,Socks,Clothing,94,Indiana,M,White,Spring,4.7,Yes,PayPal,Free Shipping,Yes,Yes,20,Debit Card,Monthly,1880,4,Senior,1,Clothing,1,High,1
69,Male,Socks,Clothing,23,South Carolina,M,Gray,Fall,2.8,Yes,Credit Card,Next Day Air,Yes,Yes,5,Cash,Every 3 Months,115,3,Senior,1,Clothing,0,Low,1
45,Male,Hoodie,Clothing,20,Wisconsin,S,Blue,Winter,4.9,Yes,Venmo,2-Day Shipping,Yes,Yes,9,Venmo,Annually,180,1,Middle,1,Clothing,1,High,1
29,Male,Socks,Clothing,86,Washington,S,Maroon,Fall,4.2,Yes,PayPal,Express,Yes,Yes,48,Debit Card,Every 3 Months,4128,3,Young,1,Clothing,0,High,2
47,Male,Boots,Footwear,60,South Dakota,M,Violet,Fall,3.0,Yes,Debit Card,Standard,Yes,Yes,9,Debit Card,Quarterly,540,2,Middle,1,Footwear,0,Low,1
28,Male,Shirt,Clothing,70,Minnesota,M,Orange,Fall,3.4,Yes,Debit Card,2-Day Shipping,Yes,Yes,40,PayPal,Annually,2800,1,Young,1,Clothing,0,Medium,2
64,Male,Belt,Accessories,39,Alaska,S,Turquoise,Fall,4.6,Yes,Credit Card,Standard,Yes,Yes,30,Venmo,Fortnightly,1170,6,Senior,1,Accessories,0,High,1
47,Male,Backpack,Accessories,37,Kentucky,L,Olive,Fall,4.2,Yes,Credit Card,Store Pickup,Yes,Yes,6,Debit Card,Bi-Weekly,222,5,Middle,1,Accessories,0,High,1
60,Male,Boots,Footwear,29,North Dakota,M,Brown,Fall,3.2,Yes,Venmo,Free Shipping,Yes,Yes,42,Venmo,Every 3 Months,1218,3,Senior,1,Footwear,0,Medium,1
67,Male,Coat,Outerwear,35,Alaska,S,Green,Winter,4.4,Yes,Cash,Store Pickup,Yes,Yes,9,PayPal,Every 3 Months,315,3,Senior,1,Outerwear,1,High,1
35,Male,Hoodie,Clothing,83,Oklahoma,S,Brown,Winter,2.5,Yes,Cash,Next Day Air,Yes,Yes,6,Debit Card,Monthly,498,4,Middle,1,Clothing,1,Low,1
30,Male,Shoes,Footwear,77,Delaware,M,Silver,Summer,3.6,Yes,Credit Card,Next Day Air,Yes,Yes,47,PayPal,Quarterly,3619,2,Young,1,Footwear,0,Medium,2
23,Male,Shoes,Footwear,37,Montana,XL,White,Summer,4.5,Yes,PayPal,Store Pickup,Yes,Yes,36,Venmo,Annually,1332,1,Young,1,Footwear,0,High,1
70,Male,Jewelry,Accessories,69,Alaska,L,Gold,Summer,3.4,Yes,Bank Transfer,Standard,Yes,Yes,19,Bank Transfer,Fortnightly,1311,6,Senior,1,Accessories,0,Medium,1
21,Male,Dress,Clothing,66,California,L,Green,Winter,3.2,Yes,Credit Card,2-Day Shipping,Yes,Yes,30,Cash,Every 3 Months,1980,3,Young,1,Clothing,1,Medium,1
